Date,Open,High,Low,Close,Volume,Adj Close
2004-03-19,71.75,71.93,67.00,67.78,6185300,33.29
2004-03-18,73.25,73.25,70.00,70.90,4557100,34.83
2004-03-17,73.50,75.12,71.90,72.65,4834300,35.69
2004-03-16,75.00,75.95,70.70,72.35,8732400,35.54
2004-03-15,76.00,77.62,74.55,75.53,8759800,37.10
2004-03-12,74.50,77.00,73.78,75.30,10968500,36.99
2004-03-11,77.25,77.50,73.50,74.72,7713300,36.71
2004-03-10,77.00,79.68,76.53,78.38,10571300,38.50
2004-03-09,76.75,78.00,76.12,77.03,6644600,37.84
2004-03-08,77.50,78.00,76.00,77.30,7651400,37.97
2004-03-05,76.53,78.30,74.75,76.93,7901500,37.79
2004-03-04,77.40,80.00,76.00,76.95,7525700,37.80
2004-03-03,82.00,82.45,75.68,76.97,12024800,37.81
2004-03-01,71.90,83.85,71.85,81.47,21762400,40.02
2004-02-27,71.25,73.00,70.07,71.20,5091100,34.98
2004-02-26,74.97,74.97,70.55,71.22,4250100,34.99
2004-02-25,74.60,75.00,73.25,73.80,3972700,36.25
2004-02-24,76.40,76.40,69.03,74.32,7845100,36.51
2004-02-23,77.25,78.50,74.43,75.07,4586200,36.88
2004-02-20,79.25,79.25,75.25,76.50,6693700,37.58
2004-02-19,78.47,80.00,77.80,78.65,6868000,38.64
2004-02-18,80.20,80.20,77.50,78.35,4016400,38.49
2004-02-17,79.00,80.00,75.82,79.32,6671700,38.97
2004-02-16,76.50,80.12,76.50,79.25,10372200,38.93
2004-02-13,73.88,77.00,73.25,76.57,15456700,37.62
2004-02-12,71.50,74.15,71.15,73.72,11806200,36.22
2004-02-11,70.20,71.70,69.25,70.80,6167400,34.78
2004-02-10,69.95,72.25,68.25,69.05,9519700,33.92
2004-02-09,70.50,70.75,67.05,69.45,7507900,34.12
2004-02-06,65.20,70.50,64.50,69.90,11080600,34.34
2004-02-05,65.97,66.45,63.50,64.18,4769400,31.53
2004-02-04,64.25,67.22,63.33,65.38,6317400,32.11
2004-02-03,67.85,68.70,63.58,64.12,6891200,31.50
2004-01-30,69.25,70.82,66.80,67.32,4349400,33.07
2004-01-29,70.45,70.45,66.75,69.35,6364200,34.07
2004-01-28,72.95,73.50,68.03,69.80,9836200,34.29
2004-01-27,64.15,75.65,64.15,73.55,20067400,36.13
2004-01-23,61.75,63.50,60.50,63.17,4022300,31.03
2004-01-22,62.25,65.00,59.80,61.08,8706800,30.00
2004-01-21,59.92,62.97,59.58,61.65,14202500,30.28
2004-01-20,59.50,62.50,58.12,59.12,18318100,29.04
2004-01-19,55.50,57.90,54.30,56.22,7894400,27.62
2004-01-16,60.00,61.35,56.50,57.15,7748300,28.07
2004-01-15,63.50,63.50,56.55,59.65,9768500,29.30
2004-01-14,60.70,70.00,60.17,61.00,7403000,29.97
2004-01-13,59.75,60.75,57.72,59.58,3895600,29.27
2004-01-12,60.40,61.10,58.47,59.78,5012100,29.36
2004-01-09,63.00,65.22,59.50,60.25,7318100,29.60
2004-01-08,56.22,62.00,56.22,60.83,8027400,29.88
2004-01-07,57.70,58.30,54.65,55.80,5505900,27.41
2004-01-06,54.70,57.50,54.45,56.53,11758000,27.77
2004-01-05,55.47,55.47,52.65,53.62,3868300,26.34
2004-01-02,56.25,56.70,54.28,54.83,5423900,26.93
2004-01-01,53.33,55.95,53.00,55.53,6221100,27.28
2003-12-31,53.45,54.35,52.50,52.55,3808200,25.81
2003-12-30,53.65,54.08,52.50,52.97,6077300,26.02
2003-12-29,53.50,54.85,52.80,53.10,4945500,26.08
2003-12-26,55.50,56.00,52.10,53.25,11562800,26.16
2003-12-24,49.67,54.65,49.00,53.72,22119000,26.39
2003-12-23,48.50,50.33,48.50,48.95,11989100,24.05
2003-12-22,46.33,48.80,45.80,47.97,9679100,23.57
2003-12-19,47.20,47.50,45.60,45.97,4216000,22.58
2003-12-18,45.22,47.28,45.15,46.53,8915700,22.85
2003-12-17,45.45,46.00,44.75,45.08,5864500,22.14
2003-12-16,44.83,46.00,43.90,45.00,6296100,22.11
2003-12-15,45.45,46.50,44.42,44.80,4602500,22.01
2003-12-12,43.65,45.50,42.70,44.60,6449700,21.91
2003-12-11,44.20,44.95,43.30,43.67,2229300,21.45
2003-12-10,46.00,46.40,43.12,43.53,3040700,21.38
2003-12-09,45.00,47.45,45.00,46.35,9634700,22.77
2003-12-08,42.15,45.88,41.83,45.30,8617500,22.25
2003-12-05,42.00,42.75,40.50,42.22,3146500,20.74
2003-12-04,40.85,42.40,40.28,41.17,2611600,20.23
2003-12-03,41.00,41.40,40.50,40.60,1089300,19.94
2003-12-02,42.38,42.83,40.75,40.95,871000,20.12
2003-12-01,42.72,42.95,41.33,41.45,1141000,20.36
2003-11-28,41.38,42.75,41.25,42.40,3089600,20.83
2003-11-27,40.62,41.45,39.00,40.75,4072600,20.02
2003-11-25,41.50,42.47,40.42,41.12,1605700,20.20
2003-11-24,40.97,41.20,40.12,40.55,942900,19.92
2003-11-21,41.30,41.50,40.12,40.78,1776800,20.03
2003-11-20,41.28,41.75,40.88,41.05,2153800,20.17
2003-11-19,43.00,43.15,41.15,41.33,3844000,20.30
2003-11-18,42.25,42.25,41.03,41.42,1820600,20.35
